objectid,filename,uwyc identifier,title,creator,date_created,description,subject,latitude,longitude,source,format,credit,rights
uw42623,uw42623.jpg,,C-Lark in Union Bay,unknown,1965-02,"Photograph of two people sailing a C-Lark in Union Bay. The C-Lark was first built in 1964 by the Clark Boat Company in Kent, Washington. ",C-Lark,47.64844023,-122.2986209,"Accession No. 6421-001, Box 2, University of Washington Yacht Club records, Slide Box 1",image/jpeg,"University of Washington Libraries, Special Collections, UW42623.","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Washington Libraries. For other uses beyond free use, please contact University of Washington Libraries, Special Collections. "
uw42624,uw42624.jpg,,C-Lark in Union Bay,unknown,1965-02,"Photograph of two people sailing a C-Lark in Union Bay. The C-Lark was first built in 1964 by the Clark Boat Company in Kent, Washington. ",C-Lark,47.64844023,-122.2986209,"Accession No. 6421-001, Box 2, University of Washington Yacht Club records, Slide Box 1",image/jpeg,"University of Washington Libraries, Special Collections, UW42624.","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Washington Libraries. For other uses beyond free use, please contact University of Washington Libraries, Special Collections. "
uw42625,uw42625.jpg,,C-Lark in Union Bay,unknown,1965-02,"Photograph of two people sailing a C-Lark in Union Bay. The C-Lark was first built in 1964 by the Clark Boat Company in Kent, Washington. ",C-Lark,47.64844023,-122.2986209,"Accession No. 6421-001, Box 2, University of Washington Yacht Club records, Slide Box 1",image/jpeg,"University of Washington Libraries, Special Collections, UW42624.","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Washington Libraries. For other uses beyond free use, please contact University of Washington Libraries, Special Collections. "
uw42639,uw42639.jpg,,Rigging a Sailboat,unknown,1967-03,Photograph of a club member rigging a docked boat at the University of Washington Waterfront Activities Center dock. ,,47.64844023,-122.2986209,"Accession No. 6421-001, Box 2, University of Washington Yacht Club records, Slide Box 1",image/jpeg,"University of Washington Libraries, Special Collections, UW42639.","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Washington Libraries. For other uses beyond free use, please contact University of Washington Libraries, Special Collections. "
uw42641,uw42641.jpg,,Whaler in Union Bay,unknown,1981-02,Photograph of a club member driving a whaler in Union Bay,Whaler,47.64844023,-122.2986209,"Accession No. 6421-001, Box 2, University of Washington Yacht Club records, Slide Box 1",image/jpeg,"University of Washington Libraries, Special Collections, UW42641.","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Washington Libraries. For other uses beyond free use, please contact University of Washington Libraries, Special Collections. "
uw42642,uw42642.jpg,,Rigging a Sailboard,unknown,1987-07,Photograph of people rigging sailboards to windsurf on Union Bay. Behind is the Associated Students of the University of Washington Shell House. ,Windsurfing,47.64844023,-122.2986209,"Accession No. 6421-001, Box 2, University of Washington Yacht Club records, Slide Box 1",image/jpeg,"University of Washington Libraries, Special Collections, UW42642.","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Washington Libraries. For other uses beyond free use, please contact University of Washington Libraries, Special Collections. "
uw42643,uw42643.jpg,,Catamaran Capsize Maneuver ,unknown,,"Photograph of a sailor performing the capasize maneuver with a catamaran, with a whaler watching nearby on Union Bay. ",Catamaran,47.64844023,-122.2986209,"Accession No. 6421-001, Box 2, University of Washington Yacht Club records, Slide Box 1",image/jpeg,"University of Washington Libraries, Special Collections, UW42643.","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Washington Libraries. For other uses beyond free use, please contact University of Washington Libraries, Special Collections. "
uw42644,uw42644.jpg,,Catamaran Capsize Maneuver ,unknown,,"Photograph of a sailor performing the capasize maneuver with a catamaran, with a whaler watching nearby on Union Bay. ",Catamaran,47.64844023,-122.2986209,"Accession No. 6421-001, Box 2, University of Washington Yacht Club records, Slide Box 1",image/jpeg,"University of Washington Libraries, Special Collections, UW42644.","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Washington Libraries. For other uses beyond free use, please contact University of Washington Libraries, Special Collections. "
uw42646,uw42646.jpg,A-12,Using a Dolly to Move a Boat,unknown,1965-02,Photograph of club members using a dolly to move a sailboat from the water into the Associated Students of the University of Washington Shell House.,ASUW Shell House,47.64791813,-122.2999433,"Accession No. 6421-001, Box 2, University of Washington Yacht Club records, Slide Box 1",image/jpeg,"University of Washington Libraries, Special Collections, UW42646.","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Washington Libraries. For other uses beyond free use, please contact University of Washington Libraries, Special Collections. "
uw42647,uw42647.jpg,B-12,Inserting Battens,unknown,,Photograph of battens being inserted into the sail. ,,47.64791813,-122.2999433,"Accession No. 6421-001, Box 2, University of Washington Yacht Club records, Slide Box 1",image/jpeg,"University of Washington Libraries, Special Collections, UW42647.","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Washington Libraries. For other uses beyond free use, please contact University of Washington Libraries, Special Collections. "
uw42648,uw42648.jpg,,Two Penguin Boats,unknown,1965-02,Photograph of two Penguin sailboats. The Penguin was designed by Philip Rhodes and first built in 1939. ,Penguin,,,"Accession No. 6421-001, Box 2, University of Washington Yacht Club records, Slide Box 1",image/jpeg,"University of Washington Libraries, Special Collections, UW42648.","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Washington Libraries. For other uses beyond free use, please contact University of Washington Libraries, Special Collections. "
uw42650,uw42650.jpg,,C-Lark in Union Bay,unknown,1965-02,Photograph of three people in a C-Lark on Union Bay. ,C-Lark,47.64844023,-122.2986209,"Accession No. 6421-001, Box 2, University of Washington Yacht Club records, Slide Box 1",image/jpeg,"University of Washington Libraries, Special Collections, UW42650.","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Washington Libraries. For other uses beyond free use, please contact University of Washington Libraries, Special Collections. "
uw42651,uw42651.jpg,,Hiking Out ,unknown,1960-09,Photograph of two people hiking out in a sailboat in Union Bay. ,,47.64844023,-122.2986209,"Accession No. 6421-001, Box 2, University of Washington Yacht Club records, Slide Box 1",image/jpeg,"University of Washington Libraries, Special Collections, UW42651.","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Washington Libraries. For other uses beyond free use, please contact University of Washington Libraries, Special Collections. "
uw42652,uw42652.jpg,,Sailing in Union Bay,unknown,1967-03,Photograph of a person sailing on Union Bay,,47.64844023,-122.2986209,"Accession No. 6421-001, Box 2, University of Washington Yacht Club records, Slide Box 1",image/jpeg,"University of Washington Libraries, Special Collections, UW42652.","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Washington Libraries. For other uses beyond free use, please contact University of Washington Libraries, Special Collections. "
uw42653,uw42653.jpg,,Boats on a Dock,unknown,1988-02,Photograph of boats on a dock with people in lifejackets. ,,47.64844023,-122.2986209,"Accession No. 6421-001, Box 2, University of Washington Yacht Club records, Slide Box 1",image/jpeg,"University of Washington Libraries, Special Collections, UW42653.","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Washington Libraries. For other uses beyond free use, please contact University of Washington Libraries, Special Collections. "
uw42654,uw42654.jpg,,Windsurfing,unknown,1988-02,Photograph of a person windsurfing,Windsurfing,47.64844023,-122.2986209,"Accession No. 6421-001, Box 2, University of Washington Yacht Club records, Slide Box 1",image/jpeg,"University of Washington Libraries, Special Collections, UW42654.","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Washington Libraries. For other uses beyond free use, please contact University of Washington Libraries, Special Collections. "
uw42655,uw42655.jpg,D-4,Boat Repair,unknown,,Photograph of two people repairing a boat in front of the Associated Students of the University of Washington Shell House.,ASUW Shell House,47.64791813,-122.2999433,"Accession No. 6421-001, Box 2, University of Washington Yacht Club records, Slide Box 1",image/jpeg,"University of Washington Libraries, Special Collections, UW42655.","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Washington Libraries. For other uses beyond free use, please contact University of Washington Libraries, Special Collections. "
uw42657,uw42657.jpg,,Rigging a Sailboat,unknown,1988-02,Photograph of two people rigging a sailboat. ,,47.64844023,-122.2986209,"Accession No. 6421-001, Box 2, University of Washington Yacht Club records, Slide Box 1",image/jpeg,"University of Washington Libraries, Special Collections, UW42657.","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Washington Libraries. For other uses beyond free use, please contact University of Washington Libraries, Special Collections. "
uw42658,uw42658.jpg,,International 420,unknown,1988-02,Photograph of two people sailing an International 420 on Union Bay. ,International 420,47.64844023,-122.2986209,"Accession No. 6421-001, Box 2, University of Washington Yacht Club records, Slide Box 1",image/jpeg,"University of Washington Libraries, Special Collections, UW42658.","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Washington Libraries. For other uses beyond free use, please contact University of Washington Libraries, Special Collections. "
uw42659,uw42659.jpg,,Sailboat and Sailboard,unknown,1988-02,Photograph of a windsurfer and sailboat on Union Bay,,47.64844023,-122.2986209,"Accession No. 6421-001, Box 2, University of Washington Yacht Club records, Slide Box 1",image/jpeg,"University of Washington Libraries, Special Collections, UW42659.","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Washington Libraries. For other uses beyond free use, please contact University of Washington Libraries, Special Collections. "
uw42660,uw42660.jpg,,Sailboat and Sailboard,unknown,1988-02,Photograph of a windsurfer and sailboat on Union Bay,,47.64844023,-122.2986209,"Accession No. 6421-001, Box 2, University of Washington Yacht Club records, Slide Box 1",image/jpeg,"University of Washington Libraries, Special Collections, UW42660.","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Washington Libraries. For other uses beyond free use, please contact University of Washington Libraries, Special Collections. "
uw42661,uw42661.jpg,,Two Sailboats on Union Bay,unknown,,Photograph of two boats on Union Bay,,47.64844023,-122.2986209,"Accession No. 6421-001, Box 2, University of Washington Yacht Club records, Slide Box 1",image/jpeg,"University of Washington Libraries, Special Collections, UW42661.","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Washington Libraries. For other uses beyond free use, please contact University of Washington Libraries, Special Collections. "
uw42662,uw42662.jpg,,Two Sailboats on Union Bay,unknown,,Photograph of two boats on Union Bay,,47.64844023,-122.2986209,"Accession No. 6421-001, Box 2, University of Washington Yacht Club records, Slide Box 1",image/jpeg,"University of Washington Libraries, Special Collections, UW42662.","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Washington Libraries. For other uses beyond free use, please contact University of Washington Libraries, Special Collections. "
uw42663,uw42663.jpg,,Sailboat on Union Bay,unknown,,Photograph of a sailboat with spinnaker on Union Bay. ,,47.64844023,-122.2986209,"Accession No. 6421-001, Box 2, University of Washington Yacht Club records, Slide Box 1",image/jpeg,"University of Washington Libraries, Special Collections, UW42663.","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Washington Libraries. For other uses beyond free use, please contact University of Washington Libraries, Special Collections. "
uw42664,uw42664.jpg,,Hiking Out,unknown,,Photograph of a person hiking out on a sailboat. ,,47.64844023,-122.2986209,"Accession No. 6421-001, Box 2, University of Washington Yacht Club records, Slide Box 1",image/jpeg,"University of Washington Libraries, Special Collections, UW42664.","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Washington Libraries. For other uses beyond free use, please contact University of Washington Libraries, Special Collections. "
